
1,Angel Stadium,Anaheim California,45483,2,45
2,AT&T Park,San Francisco California,41915,2,41
3,Busch Stadium,St Louis Missouri,43975,2,43
4,Chase Field,Phoenix Arizona,48519,2,48
5,Citi Field,Queens New York,41922,2,41
6,Citizens Bank Park,Philadelphia Pennsylvania,43651,2,43
7,Comercia Park,Detroit Michigan,41297,2,41
8,Coors Field,Denver Colorado,50398,3,50
9,Dodger Stadium,Los Angeles California,56000,3,56
10,Fenway Park,Boston Massachusetts,37949,2,37
11,GLobe Life Park,Arlington Texas,48114,2,48
12,Great American Ball Park,Cincinnati Ohio,42319,2,42
13,Kauffman Stadium,Kansas City Missouri,37903,2,37
14,Martins Park,Miami Florida,36742,2,36
15,Miller Park,Milwaukee Wisconsin,41900,2,41
16,Minute Maid Park,Houston Texas,41676,2,41
17,Nationals Park,Washington D.C.,41313,2,41
18,Oakland Coliseum,Oakland California,35067,2,35
19,Camden Yards,Baltimore Maryland,45971,2,45
20,Petco Park,San Diego California,40162,2,40
21,PNC Park,Pittsburgh Pennsylvania,38362,2,38
22,Progressive Field,Cleveland Ohio,35225,2,35
23,Rogers Centre,Toronto Ontario,49282,2,49
24,Safeco Field,Seattle Washington,47963,2,47
25,Target Field,Minneapolis Minnesota,38871,2,38
26,Tropicana Field,St. Petersburg Florida,31042,2,31
27,Turner Field,Atlanta Georgia,49586,2,49
28,US Cellular Field,Chicago Illinois,40615,2,40
29,Wrigley Field,Chicago Illinois,41268,2,41
30,Yankee Stadium,Bronx New York,49642,2,49
31,Los Angeles Memorial Coliseum,"Los Angeles, California",93607,3,93
32,MetLife Stadium,"East Rutherford, New Jersey",82500,3,82
33,MetLife Stadium,"East Rutherford, New Jersey",82500,3,82
34,FedExField,"Landover, Maryland",82000,3,82
35,Lambeau Field,"Green Bay, Wisconsin",81435,3,81
36,AT&T Stadium,"Arlington, Texas",80000,3,80
37,Arrowhead Stadium,"Kansas City, Missouri",76416,3,76
38,Sports Authority Field at Mile High,"Denver, Colorado",76125,3,76
39,Bank of America Stadium,"Charlotte, North Carolina",75419,3,75
40,Mercedes-Benz Superdome,"New Orleans, Louisiana",73000,2,73
41,NRG Stadium,"Houston, Texas",72220,2,72
42,New Era Field,"Orchard Park, New York",71870,2,71
43,Georgia Dome,"Atlanta, Georgia",71250,2,71
44,M&T Bank Stadium,"Baltimore, Maryland",71008,2,71
45,Qualcomm Stadium,"San Diego, California",70561,2,70
46,Lincoln Financial Field,"Philadelphia, Pennsylvania",69596,2,69
47,Nissan Stadium,"Nashville, Tennessee",69143,2,69
48,Levi's Stadium,"Santa Clara, California",68500,2,68
49,Heinz Field,"Pittsburgh, Pennsylvania",68400,2,68
50,CenturyLink Field,"Seattle, Washington",68000,2,68
51,FirstEnergy Stadium,"Cleveland, Ohio",67431,2,67
52,EverBank Field,"Jacksonville, Florida",67246,2,67
53,Lucas Oil Stadium,"Indianapolis, Indiana",67000,2,67
54,Gillette Stadium,"Foxborough, Massachusetts",66829,2,66
55,U.S. Bank Stadium,"Minneapolis, Minnesota",66200,2,66
56,Raymond James Stadium,"Tampa, Florida",65890,2,65
57,Paul Brown Stadium,"Cincinnati, Ohio",65515,2,65
58,Hard Rock Stadium,"Miami Gardens, Florida",65326,2,65
59,Ford Field,"Detroit, Michigan",65000,2,65
60,University of Phoenix Stadium,"Glendale, Arizona",63400,2,63
61,Soldier Field,"Chicago, Illinois",61500,2,61
62,Oakland Alameda Coliseum,"Oakland, California",56063,2,56
